item,image,gold,prompt,output,destination,route,obstacles,notes
001,campus/classroom_chairs_wet2,"One black chair at the right end of the white table, vacant, about 4 m ahead-right. Obstacles: a yellow wet-floor caution sign ahead-left about 2 m away and wet paper on the floor to its right. Route: pass between or to the right of the sign and paper with care, continue to the chair at the right end of the table.",Is there an empty seat I can take? Tell me how to get to it.,"Yes, there is an empty seat for you to take.

Face the blackboard and move forward two steps. You will see a white table to your right and a black chair in front of the blackboard. The seat you can take is behind the table and to the left of the black chair. The seat should be empty.",,,,
002,chairs/IMG_Cl_Obstacle_Ball,"One white chair at the right side of the square table, vacant, about 3 m ahead-right. Obstacle: a ball on the floor ahead, slightly left of centre, about 1.5 m away. Route: step right of the ball, walk forward to the table, the chair is on its right.",I want to sit down. Guide me to a vacant seat.,"Move forward to the left, then turn right when you reach the chair.",,,,
003,campus/classroom_chairs_bag,"Two black chairs. The near chair, front right, has a backpack on it (occupied). The vacant chair is the far one at the right end of the white table, about 4 m ahead and slightly right. Obstacles: the near occupied chair with the backpack, and loose sheets of paper on the floor beside it. Route: walk forward keeping left of the near chair, then step right to the chair at the table.",I want to sit down. Guide me to a vacant seat.,Walk towards the blackboard and find a seating arrangement with no backpack or personal items on a chair under the desk. There is one seat visible with no additional items.,,,,
004,campus/classroom_chairs_box,"One black chair at the right end of the white table, vacant, about 4 m ahead and to the right. Obstacle: an open cardboard box on the floor directly ahead, about 2 m away. Route: bear left or right around the box, then continue to the chair at the right end of the table.",Is there an empty seat I can take? Tell me how to get to it.,"There is an empty chair in the room. To reach it, walk straight from your position, and then turn right. The chair is near the white table and against the wall. There's a cardboard box in front of the chair, so step over or around it to get closer. The chair will be to your right.",,,,
005,chairs/IMG_Cl_Obstacle_Box2,"One white chair at the right side of the square table, vacant, about 3 m ahead-right. Obstacle: two stacked cardboard boxes on the floor ahead-right, about 1.5 m away. Route: keep left of the boxes, walk forward to the table, then the chair on the right.",I want to sit down. Guide me to a vacant seat.,Go forward and then turn left. The white chair beside the wooden table is your seat. Avoid the cardboard box in your path.,,,,
006,chairs/IMG_Cl_Obstacle_Box2,"One white chair at the right side of the square table, vacant, about 3 m ahead-right. Obstacle: two stacked cardboard boxes on the floor ahead-right, about 1.5 m away. Route: keep left of the boxes, walk forward to the table, then the chair on the right.",Is there an empty seat I can take? Tell me how to get to it.,"Yes, there is an empty seat for you to take. You should proceed straight ahead until you reach a table with a white chair beside it. There is no need to worry about any obstacles.",,,,
007,chairs/IMG_Cl_Obstacle_Ball,"One white chair at the right side of the square table, vacant, about 3 m ahead-right. Obstacle: a ball on the floor ahead, slightly left of centre, about 1.5 m away. Route: step right of the ball, walk forward to the table, the chair is on its right.",Is there an empty seat I can take? Tell me how to get to it.,"You can take the vacant seat. It's white and located in the corner to your right, facing the empty table.",,,,
008,campus/classroom_chairs_paper,"One black chair at the right end of the white table, vacant, about 4 m ahead and to the right. Obstacle: loose sheets of paper on the floor ahead, about 2 m away, slippery. Route: walk forward keeping left of the paper, then to the chair on the right.",Is there an empty seat I can take? Tell me how to get to it.,Walk towards the blackboard and find the empty chair under the table. Avoid the wet sign on the floor.,,,,
009,chairs/IMG_Cl_Obstacle_Box,"One white chair at the right side of the square table, vacant, about 3 m ahead-right. Obstacle: an open cardboard box on the floor ahead-right, about 1.5 m away. Route: keep left of the box, walk forward to the table, then the chair on the right.",Is there an empty seat I can take? Tell me how to get to it.,"Yes, there's an empty chair. To reach it, walk straight ahead from here and turn left when you see the white chair. The chair is in front of the table.",,,,
010,campus/classroom_chairs_wet2,"One black chair at the right end of the white table, vacant, about 4 m ahead-right. Obstacles: a yellow wet-floor caution sign ahead-left about 2 m away and wet paper on the floor to its right. Route: pass between or to the right of the sign and paper with care, continue to the chair at the right end of the table.","Please direct me to the nearest available chair, and warn me about anything in the way.","Move to the right slightly, then face forward. The chair is directly in front and to the right of you. Steer clear of the yellow 'Caution Wet Floor' sign and ensure your path does not obstruct the table or any other furniture.",,,,
011,chairs/IMG_Cl_Obstacle_Tissue,"One white chair at the right side of the square table, vacant, about 3 m ahead-right. Obstacle: loose tissues or paper on the floor ahead-left, about 1 m away, slippery. Route: keep right of the paper, walk forward to the table, the chair is on its right.","Please direct me to the nearest available chair, and warn me about anything in the way.","You need to walk to the white chair next to the table. There are white paper bags on the floor, so be careful to avoid stepping on them.",,,,
012,chairs/IMG_Cl_Obstacle_Box2,"One white chair at the right side of the square table, vacant, about 3 m ahead-right. Obstacle: two stacked cardboard boxes on the floor ahead-right, about 1.5 m away. Route: keep left of the boxes, walk forward to the table, then the chair on the right.",Is there an empty seat I can take? Tell me how to get to it.,You can find an empty seat by turning right and walking about 5 feet. The chair is located directly across from the table. Make sure to avoid stepping on the cardboard box near your starting point.,,,,
013,chairs/IMG_Cl_Obstacle_TableAndPot2,"One white chair behind the square table at the right, vacant, about 3.5 m ahead-right. Obstacle: a low round side table with a potted plant on it, to the right about 1.5 m away, knee height. Route: keep left of the low table, walk forward, the chair is at the right of the square table.","Please direct me to the nearest available chair, and warn me about anything in the way.","Good, I can see the white chair next to the table. It's on the right-hand side of the wooden table. This is the vacant seat that you're looking for. Just move towards it. There is a plant on the small wooden table that is in the foreground of the picture. The plant is on the small wooden table that is in the middle of the picture. There's no danger or obstacle in the way. Just keep walking forward and you'll arrive at the vacant white chair.",,,,
014,campus/classroom_chairs_paper,"One black chair at the right end of the white table, vacant, about 4 m ahead and to the right. Obstacle: loose sheets of paper on the floor ahead, about 2 m away, slippery. Route: walk forward keeping left of the paper, then to the chair on the right.","Please direct me to the nearest available chair, and warn me about anything in the way.",Please look for the seat to the left. There are sheets on the floor next to it. You can avoid them by carefully stepping over them.,,,,
015,chairs/IMG_Cl_Obstacle_TableAndPot2,"One white chair behind the square table at the right, vacant, about 3.5 m ahead-right. Obstacle: a low round side table with a potted plant on it, to the right about 1.5 m away, knee height. Route: keep left of the low table, walk forward, the chair is at the right of the square table.","Please direct me to the nearest available chair, and warn me about anything in the way.","Move forward a bit and turn slightly to the right. The chair is directly ahead. As you approach, be aware that the round table in front of the chair may partially obscure your path. Carefully step over the table and continue until you reach the chair on the other side.",,,,
016,chairs/IMG_Cl_Obstacle_TableAndPot,"One white chair behind the square table at the right, vacant, about 3.5 m ahead-right. Obstacle: a low round side table with a potted plant on it, ahead-right about 1.5 m away, knee height. Route: keep left of the low table, walk forward past the square table, the chair is at its right.",I want to sit down. Guide me to a vacant seat.,"Yes, I can help you find a vacant seat. There is a white chair that is unoccupied and positioned near a small wooden table. The seat is at the back of a small round wooden table. There are no other items on that chair or table, so it is a vacant seat.

You are standing in front of a small round wooden table and a white chair near it. I'll guide you step by step on how to get to the seat.

First, you should face the small wooden table in front of the white chair. It's there, so you can move towards it. You can go right over the small wooden table and the white chair is there. There is no person, no personal items on it.

You should face the white chair and walk a bit forward. Then, walk a little more and you should be at the seat and can sit. You can go right over the small wooden table and the white chair is there. The small wooden table is near the white chair. The white chair is unoccupied. You should walk towards that white chair, and then face it and sit down.

There is no obstacle or problem in the way.

So, the route is:

1. **Face the small wooden table in front of the white chair.**
2. **Walk forward a bit to reach the white chair.**
3. **Sit down on the white chair.**

There is no other seat or furniture obstructing your path. The white chair is the only vacant seat, and it is directly in front of the small wooden table. So, once you face the white chair and walk forward, you will be at the vacant seat.",,,,
017,campus/classroom_chairs_box,"One black chair at the right end of the white table, vacant, about 4 m ahead and to the right. Obstacle: an open cardboard box on the floor directly ahead, about 2 m away. Route: bear left or right around the box, then continue to the chair at the right end of the table.","Please direct me to the nearest available chair, and warn me about anything in the way.","Go straight ahead, about three steps. Just past the table, you will see a black chair. Take the chair. There is no obstacle in your path.",,,,
018,chairs/IMG_Cl_Obstacle_ClAndBag,"Two white chairs. The near chair, front left, has a backpack on it (occupied). The vacant chair is at the right side of the table, about 3 m ahead-right. Obstacles: the near occupied chair and backpack on the left. Route: walk forward keeping right of the near chair, to the chair by the table.",Is there an empty seat I can take? Tell me how to get to it.,"Yes, there is an empty seat. To reach it:

1. Walk straight towards the table.
2. Turn right and walk to the chair on the right side of the table.
3. The vacant seat is the chair next to the backpack, facing the whiteboard.",,,,
019,chairs/IMG_Cl_Obstacle_TableAndPot2,"One white chair behind the square table at the right, vacant, about 3.5 m ahead-right. Obstacle: a low round side table with a potted plant on it, to the right about 1.5 m away, knee height. Route: keep left of the low table, walk forward, the chair is at the right of the square table.",Is there an empty seat I can take? Tell me how to get to it.,"Yes, there's an empty chair. Go straight ahead towards the wall. The empty chair is to the right of you, near the corner.",,,,
020,campus/classroom_chairs_wet,"One black chair at the right end of the white table, vacant, about 4 m ahead-right. Obstacle: a yellow wet-floor caution sign ahead-right about 2 m away with wet paper beside it. Route: keep to the left of the sign, go forward to the table, the chair is at its right end.",Is there an empty seat I can take? Tell me how to get to it.,"Yes, there is an empty seat you can take. To get to it, you need to follow these steps:

1. Walk towards the blackboard.
2. Continue forward until you reach the table and the nearby chair.
3. Sit down on the chair next to the table and the parallel table.

You will know you are near the seat once you see the wet floor sign indicating the direction to the closest, empty seat.",,,,
021,chairs/IMG_Cl_Obstacle_TableAndPot,"One white chair behind the square table at the right, vacant, about 3.5 m ahead-right. Obstacle: a low round side table with a potted plant on it, ahead-right about 1.5 m away, knee height. Route: keep left of the low table, walk forward past the square table, the chair is at its right.",Is there an empty seat I can take? Tell me how to get to it.,"There is a vacant white chair behind a rectangular wooden table. To reach it, move straight ahead towards the wall, then slightly to the right and towards the back of the room.",,,,
