item,model,qid,repeat
001,qwen2.5-vl-3b,nav_5_q2,7
002,qwen2.5-vl-3b,nav_6_q1,2
003,qwen2.5-vl-3b,nav_1_q1,6
004,qwen2.5-vl-7b,nav_2_q2,1
005,qwen2.5-vl-7b,nav_8_q1,1
006,qwen2.5-vl-3b,nav_8_q2,7
007,qwen2.5-vl-7b,nav_6_q2,3
008,qwen2.5-vl-3b,nav_3_q2,6
009,qwen2.5-vl-7b,nav_7_q2,0
010,qwen2.5-vl-7b,nav_5_q3,9
011,qwen2.5-vl-3b,nav_13_q3,9
012,qwen2.5-vl-7b,nav_8_q2,3
013,qwen3-vl-2b,nav_12_q3,2
014,qwen2.5-vl-3b,nav_3_q3,5
015,qwen2.5-vl-7b,nav_12_q3,6
016,qwen3-vl-2b,nav_11_q1,7
017,qwen2.5-vl-7b,nav_2_q3,7
018,qwen2.5-vl-7b,nav_9_q2,2
019,qwen2.5-vl-7b,nav_12_q2,9
020,qwen2.5-vl-3b,nav_4_q2,5
021,qwen2.5-vl-7b,nav_11_q2,6
022,qwen2.5-vl-3b,nav_10_q1,0
023,qwen2.5-vl-7b,nav_4_q3,9
024,qwen2.5-vl-7b,nav_7_q1,0
025,qwen3-vl-2b,nav_9_q2,0
026,qwen3-vl-2b,nav_11_q2,7
027,qwen3-vl-2b,nav_5_q2,2
028,qwen2.5-vl-3b,nav_6_q1,5
029,qwen2.5-vl-7b,nav_4_q3,5
030,qwen3-vl-2b,nav_13_q2,1
031,qwen3-vl-2b,nav_9_q1,0
032,qwen3-vl-2b,nav_7_q1,0
033,qwen2.5-vl-7b,nav_8_q1,7
034,qwen2.5-vl-7b,nav_2_q1,1
035,qwen3-vl-2b,nav_10_q2,7
036,qwen2.5-vl-3b,nav_9_q1,3
037,qwen2.5-vl-3b,nav_1_q1,7
038,qwen2.5-vl-7b,nav_11_q1,9
039,qwen3-vl-2b,nav_6_q2,0
040,qwen3-vl-2b,nav_1_q1,0
